,Title,Year,Class,Species,Gradient,number of traits,Trait type,Counter or Co,Data collection,Number of populations,Number of Treatments,Experiment type (CG or RT),distance between analyzed (a and b) populations (km),elevation between analyzed (a and b) populations (m),notes,,
Dittman 1997,Latitudinal compensation in oyster ciliary activity,1997,Bivalvia,Crassostrea virginica,latitude,1,physiological,counter,graph,2,4,CG,218,,,,
Brown et al. 1998,Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes,1998,Actinopterygii,Morone saxatilis,latitude,2,physiological,counter,graph,4,2,CG,,,,,
Arnett and Gotelli 1999,"GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE",1999,Insecta,Myrmeleon immaculatus,latitude,3,physiological,counter,graph,2,2,CG,783,,"used only high food temperatures, made measurements for latitude equidistant between sampling populations",,
Billerbeck et al. 2000,Adaptive variation in energy acquisition and allocation among latitudinal populations of the Atlantic silverside,2000,Actinopterygii,Menidia menidia,latitude,4,physiological,counter,graph,2,2,CG,,,only measured one trait because couldn't parse sample size on other 3,,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,2000,Actinopterygii,Hippoglossus hippoglossus,latitude,2,physiological,counter,graph,3,4,CG,2334,,,,
Trussell 2000,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",2000,Gastropoda,Littorina obtusata,latitude,2,physiological,counter,graph,2,2,RT,250,,,,
Secor et al. 2000,Effect of Temperature and Salinity on Growth Performance in Anadromous (Chesapeake Bay) and Nonanadromous (Santee-Cooper) Strains of Striped Bass Morone saxatilis,2000,Actinopterygii,Morone saxatilis,salinity,1,physiological,counter,graph,2,3,CG,,,,,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,2000,Actinopterygii,Hippoglossus hippoglossus,latitude,3,physiological,counter,table,3,4,CG,2334,,,,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,2000,Actinopterygii,Scophthalmus maximus,latitude,2,physiological,counter,both,3,4,CG,1333,,,,
Purchase and Brown 2000,Interpopulation differences in growth rates and food conversion efficiencies of young Grand Banks and Gulf of Maine Atlantic cod (Gadus morhua),2000,Actinopterygii,Gadus morhua,latitude,1,physiological,counter,graph,2,2,CG,333,,,,
Robinson and Partridge 2001; SA ,Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster,2001,Insecta,Drosophila melanogaster,latitude,1,physiological,counter,graph,2,2,CG,4365,,"females and males split between ""experiments""",,
Robinson and Partridge 2001; Aus,Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster,2001,Insecta,Drosophila melanogaster,latitude,1,physiological,counter,graph,2,2,CG,2865,,"females and males split between ""experiments""",,
Chapin and Oechel 1983,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",1983,Liliopsida ,Carex aquatilis,soil phosphate level,1,physiological,counter,graph,4,6,RT,,,,,
Vernberg and Costlow 1966; pugnax,Studies on the Physiological Variation between Tropical and Temperate-Zone Fiddler Crabs of the Genus Uca. IV. Oxygen Consumption of Larvae and Young Crabs Reared in the Laboratory,1966,Malacostraca,Minuca pugnax,latitude,1,physiological,counter,table,2,5,CG,,,data for Uca pugnax,,
Vernberg and Costlow 1966; pugilator,Studies on the Physiological Variation between Tropical and Temperate-Zone Fiddler Crabs of the Genus Uca. IV. Oxygen Consumption of Larvae and Young Crabs Reared in the Laboratory,1966,Malacostraca,Uca pugilator,latitude,1,physiological,counter,table,3,3,CG,,,data for Uca pugilator,,
Vernberg 1959,STUDIES ON THE PHYSIOLOGICAL VARIATION BETWEEN TROPICAL AND TEMPERATE ZONE FIDDLER CRABS OF THE GENUS UCA. II. OXYGEN CONSUMPTION OF WHOLE ORGANISMS,1959,Malacostraca,Minuca rapax,latitude,1,physiological,counter,table,2,4,CG,,,,,
Armbruster and Conn 2006,Geographic Variation of Larval Growth in North American Aedes albopictus,2006,Insecta,Aedes albopictus,latitude,3,physiological,counter,graph,3,3,CG,1445,,,,
Blanckenhorn 1991; RT,Life-history difference in adjacent water strider populations: phenotypic plasticity or heritable responses to stream temperature?,1991,Insecta,Aquarius remigis,temperature,1,physiological,counter,table,2,2,RT,,,,,
Blanckenhorn 1991; CG,Life-history difference in adjacent water strider populations: phenotypic plasticity or heritable responses to stream temperature?,1991,Insecta,Aquarius remigis,temperature,1,physiological,counter,table,2,7,CG,,,,,
Boman et al. 2008,Quantitative genetic approach for assessing invasiveness: geographic and genetic variation in life-history traits,2008,Insecta,Leptinotarsa decemlineata,latitude,1,physiological,counter,table,4,2,CG,2082,,,,
Schutze and Clarke 2008,"Converse Bergmann cline in a Eucalyptusherbivore, Paropsis atomaria Olivier (Coleoptera: Chrysomelidae): phenotypic plasticity or local adaptation?",2008,Insecta,Paropsis atomaria,latitude,1,physiological,counter,graph,2,4,CG,1204,,,,
DiMichele and Westerman 1997,Geographic variation in development rate between populations of the teleost Fundulus heteroclitus,1997,Actinopterygii,Fundulus heteroclitus,latitude,1,physiological,counter,table,2,2,CG,1318,,,,
Purchase and Brown 2001,"Stock‐specific changes in growth rates, food conversion efficiencies, and energy allocation in response to temperature change in juvenile Atlantic cod",2001,Actinopterygii,Gadus morhua,latitude,1,physiological,counter,graph,2,2,CG,444,,,,
Billerbeck et al. 2000,Adaptive variation in energy acquisition and allocation among latitudinal populations of the Atlantic silverside,2000,Actinopterygii,Menidia menidia,latitude,1,physiological,counter,graph,2,2,CG,,,,,
Kinnison et al. 2001,MIGRATORY COSTS AND THE EVOLUTION OF EGG SIZE AND NUMBER IN INTRODUCED AND INDIGENOUS SALMON POPULATIONS,2001,Actinopterygii,Oncorhynchus tshawytscha,migration distance,1,physiological,counter,table,2,3,both,,,,,
Trussel 2000,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",2000,Gastropoda,Littorina obtusata,latitude,2,physiological,co,graph,2,2,RT,250,,,,
Day et al. 1994,A COMPARISON OF TWO STICKLEBACKS,1994,Actinopterygii,Gasterosteus aculeatus,prey type,4,physiological,co,graph,2,2,CG,,,,,
Arendt and Reznick 2005,Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?,2005,Actinopterygii,Poecilia reticulata,resource availability,1,physiological,co,graph,4,2,RT,,,,,
Bradford and Roff 1995,Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius,1995,Insecta,Allonemobius socius,latitude,1,life history,co,graph,2,2,CG,,,,,
Jasienski 2009,COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE,2009,Amphibia,Rana temporaria,elevation,3,physiological,co,graph,2,2,CG,,925,,,
Poykko and Tammaru 2010,"Countergradient vs. cogradient variation in growth and diapause in a lichen‐feeding moth, Eilema depressum (Lepidoptera: Arctiidae)",2010,Insecta,Eilema depressa,latitude,2,physiological,both,graph,2,4,CG,810,,,,
Stalhandske et al. 2014,Variation in two phases of post‐winter development of a butterfly,2014,Insecta,Anthocharis cardamines,latitude,1,physiological,co,graph,3,4,CG,501,,,,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,2019,Amphibia,Rana arvalis,latitude,3,physiological,both,graph,5,2,CG,805,,,,
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,2014,Insecta,Melanoplus femurrubrum,latitude,3,physiological,counter,graph,4,3,CG,1891,,,,
Tüzün et al. 2017,Microgeographic differentiation in thermal performance curves between rural and urban populations of an aquatic insect,2017,Insecta,Coenagrion puella,urbanisation,1,physiological,counter,graph,2,5,CG,,,,,
Laurila et al. 2003,Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment,2003,Amphibia,Rana temporaria,latitude,4,physiological,counter,graph,2,2,CG,801,,,,
Joyce 2002,"The survival, longevity, diet and development of mountain stone weta Hemideina maori in the Rock and Pillar Range, New Zealand",2002,Insecta,Hemideina maori,elevation,2,physiological,counter,graph,2,2,CG,,300,,,
Grether et al. 2005,Countergradient variation in the sexual coloration of guppies (Poecilia Reticulata): Drosopterin synthesis balances carotenoid availability,2005,Actinopterygii,Poecilia reticulata,carotenoid availability,1,physiological,counter,graph,3,3,CG,,,,,
