"","line_num","Author","Title","Previously analyzed","Has been analyzed","Notes","...6"
"311",560,"Weider, LJ; Elser, JJ; Crease, TJ; Mateos, M; Cotner, JB; Markow, TA","The functional significance of ribosomal (r)DNA variation: Impacts on the evolutionary ecology of organisms",NA,"Y",NA,NA
"312",569,"Garant, D; Kruuk, LEB; McCleery, RH; Sheldon, BC","Evolution in a changing environment: A case study with great tit fledging mass","Y",NA,NA,NA
"313",579,"Foote, CJ; Brown, GS; Hawryshyn, CW","Female colour and male choice in sockeye salmon: implications for the phenotypic convergence of anadromous and nonanadromous morphs","Y",NA,NA,NA
"314",580,"Angilletta, MJ; Oufiero, CE; Sears, MW","Thermal adaption of maternal and embryonic phenotypes in a geographically widespread ectotherm","Y",NA,NA,NA
"315",583,"Eckhart, VM; Geber, MA; McGuire, CM","Experimental studies of adaptation in Clarkia xantiana. I. Sources of trait variation across a subspecies border","Y",NA,NA,NA
"316",591,"Laugen, AT; Laurila, A; Rasanen, K; Merila, J","Latitudinal countergradient variation in the common frog (Rana temporaria) development rates - evidence for local adaptation","Y",NA,NA,NA
"317",592,"Loman, J","Growth and development of larval Rana temporaria: Local variation and countergradient selection","Y",NA,NA,NA
"318",595,"Munch, SB; Mangel, M; Conover, DO","Quantifying natural selection on body size from field data: Winter mortality in Menidia menidia","Y",NA,NA,NA
"319",603,"Sommer, S; Pearman, PB","Quantitative genetic analysis of larval life history traits in two alpine populations of Rana temporaria","Y",NA,NA,NA
"320",608,"Garvey, JE; Devries, DR; Wright, RA; Miner, JG","Energetic adaptations along a broad latitudinal gradient: Implications for widely distributed assemblages","Y",NA,NA,NA
"321",617,"Addo-Bediako, A; Chown, SL; Gaston, KJ","Metabolic cold adaptation in insects: a large-scale perspective","Y",NA,NA,NA
"322",619,"Yamahira, K; Conover, DO","Intra- vs. interspecific latitudinal variation in growth: Adaptation to temperature or seasonality?","Y",NA,NA,NA
"323",635,"Trussell, GC; Etter, RJ","Integrating genetic and environmental forces that shape the evolution of geographic variation in a marine snail","Y",NA,NA,NA
"324",639,"Billerbeck, JM; Lankford, TE; Conover, DO","Evolution of intrinsic growth and energy acquisition rates. I. Trade-offs with swimming performance in Menidia menidia","Y",NA,NA,NA
"325",640,"Lankford, TE; Billerbeck, JM; Conover, DO","Evolution of intrinsic growth and energy acquisition rates. II. Trade-offs with vulnerability to predation in Menidia menidia","Y",NA,NA,NA
"326",641,"Kinnison, MT; Unwin, MJ; Hendry, AP; Quinn, TP","Migratory costs and the evolution of egg size and number in introduced and indigenous salmon populations","Y",NA,NA,NA
"327",644,"Dawson, MN; Martin, LE","Geographic variation and ecological adaptation in Aurelia (Scyphozoa, Semaeostomeae): some implications from molecular phylogenetics","Y",NA,NA,NA
"328",645,"Lankford, TE; Targett, TE","Physiological performance of young-of-the-year Atlantic croakers from different Atlantic coast estuaries: Implications for stock structure","Y",NA,NA,NA
"329",646,"Niewiarowski, PH","Energy budgets, growth rates, and thermal constraints: Toward an integrative approach to the study of life-history variation","Y",NA,NA,NA
"330",648,"Craig, JK; Foote, CJ","Countergradient variation and secondary sexual color: Phenotypic convergence promotes genetic divergence in carotenoid use between sympatric anadromous and nonanadromous morphs of sockeye salmon (Oncorhynchus nerka)","Y",NA,NA,NA
"331",651,"Merila, J; Laurila, A; Laugen, AT; Rasanen, K; Pahkala, M","Plasticity in age and size at metamorphosis in Rana temporaria - comparison of high and low latitude populations","Y",NA,NA,NA
"332",654,"Trussell, GC","Phenotypic clines, plasticity, and morphological trade-offs in an intertidal snail","Y",NA,NA,NA
"333",658,"Arendt, JD; Wilson, DS","Countergradient selection for rapid growth in pumpkinseed sunfish: Disentangling ecological and evolutionary effects","Y",NA,NA,NA
"334",660,"Miaud, C; Guyetant, R; Elmberg, J","Variations in life-history traits in the common frog Rana temporaria (Amphibia : Anura): a literature review and new data from the French Alps",NA,"Y",NA,NA
"335",661,"Arnett, AE; Gotelli, NJ","Geographic variation in life-history traits of the ant lion, Myrmeleon immaculatus: Evolutionary implications of Bergmann's rule","Y",NA,NA,NA
"336",665,"Brown, JJ; Ehtisham, A; Conover, DO","Variation in larval growth rate among striped bass stocks from different latitudes","Y",NA,NA,NA
"337",667,"Schultz, ET; Conover, DO; Ehtisham, A","The dead of winter: size dependent variation and genetic differences in seasonal mortality among Atlantic silverside (Atherinidae : Menidia menidia) from different latitudes","Y",NA,NA,NA
"338",669,"Conover, DO","Local adaptation in marine fishes: Evidence and implications for stock enhancement","Y",NA,NA,NA
"339",671,"Nylin, S; Gotthard, K","Plasticity in life-history traits",NA,"Y",NA,NA
"340",673,"Arendt, JD; Wilson, DS","Optimistic growth: Competition and an ontogenetic niche-shift select for rapid growth in pumpkinseed sunfish (Lepomis gibbosus)","Y",NA,NA,NA
"341",677,"Billerbeck, JN; Orti, G; Conover, DO","Latitudinal variation in vertebral number has a genetic basis in the Atlantic silverside, Menidia menidia","Y",NA,NA,NA
"342",678,"Parsons, KE","Contrasting patterns of heritable geographic variation in shell morphology and growth potential in the marine gastropod Bembicium vittatum: Evidence from field experiments","Y",NA,NA,NA
"343",680,"Stam, E","Temperature responses and physiological time: A comparison of three European populations of Orchesella cincta",NA,"Y","Not available online",NA
"344",681,"Arendt, JD","Adaptive intrinsic growth rates: An integration across taxa","Y",NA,NA,NA
"345",682,"Schultz, ET; Conover, DO","Latitudinal differences in somatic energy storage: Adaptive responses to seasonality in an estuarine fish (Atherinidae: Menidia menidia)","Y",NA,NA,NA
"346",683,"Schultz, ET; Reynolds, KE; Conover, DO","Countergradient variation in growth among newly hatched Fundulus heteroclitus: Geographic differences revealed by common-environment experiments","Y",NA,NA,NA
